City,Country,city_match,city_geocode,country_geocode,latitude,longitude,Specialization,Curator_lastname_firstname,Curator_nationality_or_residence,Regularity,Local_or_international,First_edition_year,Last_Edition_year,City,Country,Region
Venice,Italy,TRUE,Venice,Italy,45.4408474,12.3155151,Contemporary art,Macel Christine,France,Biennial,International,1895,2017,Venice,Italy,Western Europe
Pittsburgh,USA,TRUE,Pittsburgh,USA,40.4406248,-79.9958864,Contemporary art,Schaffner Ingrid,USA,Five years,International,1896,2018,Pittsburgh,USA,North America
Tucson,USA,TRUE,Tucson,USA,32.2226066,-110.9747108,Contemporary art,Hart Rebecca R.,USA,Biennial,Local,1948,2018,Tucson,USA,North America
Arnhem,Netherlands,TRUE,Arnhem,Netherlands,51.9851034,5.8987296,Sculpture,Ruangrupa,Indonesia,Quadriennial,International,1949,2016,Arnhem,Netherlands,Western Europe
São Paulo,Brazil,TRUE,São Paulo,Brazil,-23.5557714,-46.6395571,Contemporary art,Pérez-Barreiro Gabriel,Spain,Biennial,International,1951,2018,São Paulo,Brazil,Latin America
Ljubljana,Slovenia,TRUE,Ljubljana,Slovenia,46.0569465,14.5057515,Graphic art,n/a,n/a,Biennial,International,1955,2017,Ljubljana,Slovenia,Eastern Europe
Kassel,Germany,TRUE,Kassel,Germany,51.3127114,9.4797461,Contemporary art,Szymczyk Adam,Poland,Five years,International,1955,2017,Kassel,Germany,Western Europe
Belgrade,Serbia,TRUE,Belgrade,Serbia,44.8125449,20.4612299,Contemporary art,"Kvaran Gunnar B., Kvaran Danielle","Iceland, France",Biennial,International,1960,2018,Belgrade,Serbia,Eastern Europe
Helsinki,Finland,TRUE,Helsinki,Finland,60.1698557,24.9383791,Contemporary art,"Haapala Leevi, Sakari Marja, Kivinen Kati, Nyberg Patrik, Vanhala Jari-Pekka, Miller Arja, Aarnio Eija, Liimatainen Milja",Finland,Irregular,International,1961,2017,Helsinki,Finland,Western Europe
Brno,Czech Republic,TRUE,Brno,Czech Republic,49.1950602,16.6068371,Graphic design,OKOLO creative group,Czech Republic,Biennial,International,1963,2018,Brno,Czech Republic,Eastern Europe
Krakow,Poland,TRUE,Krakow,Poland,50.0646501,19.9449799,Graphic art,Škrjanec Breda,Slovenia,Triennial,International,1966,2018,Krakow,Poland,Eastern Europe
Tallinn,Estonia,TRUE,Tallinn,Estonia,59.4369608,24.7535747,Graphic art,Säde Margit,Estonia,Triennial,International,1968,2018,Tallinn,Estonia,Eastern Europe
Riga,Latvia,TRUE,Riga,Latvia,56.9496487,24.1051865,Sculpture,"Bikše Aigars, Lubytė Elona, Kangro Kirke","Latvia, Lithuania, Estonia",Quadriennial,International,1972,2016,Riga,Latvia,Eastern Europe
New York,USA,TRUE,New York,USA,40.7127753,-74.0059728,Contemporary art,"Lew Christopher, Locks Mia","USA, USA",Biennial,Local,1973,2017,New York,USA,North America
Sydney,Australia,TRUE,Sydney,Australia,-33.8688197,151.2092955,Contemporary art,Kataoka Mami,Japan,Biennial,International,1973,2018,Sydney,Australia,Oceania
Jakarta,Indonesia,TRUE,Jakarta,Indonesia,-6.2087634,106.845599,Contemporary art,"Suryodarmo Melati, Gultom Annissa, Wiyanto Hendro, Pirotte Philippe, Havránek Vít","Indonesia, Indonesia, Indonesia, Belgium, Czech Republic",Biennial,International,1974,2017,Jakarta,Indonesia,Asia
Kingston,Jamaica,TRUE,Kingston,Jamaica,41.9270367,-73.9973608,Contemporary art,n/a,n/a,Biennial,Local,1977,2017,Kingston,Jamaica,Caribbean
Münster,Germany,TRUE,Münster,Germany,51.9606649,7.6261347,"Sculpture, Public art","König Kasper, Peters Britta, Wagner Marianne",Germany,Ten years,International,1977,2017,Münster,Germany,Western Europe
Limerick,Ireland,TRUE,Limerick,Ireland,52.6638367,-8.6267343,Contemporary art,Guerrero Inti,Colombia,Biennial,International,1977,2018,Limerick,Ireland,Western Europe
Guatemala City,Guatemala,TRUE,Guatemala City,Guatemala,14.6349149,-90.5068824,Contemporary art,"Mosquera Gerardo, Juracán Maya, Wellen Laura, De León Esperanza",n/a,Biennial,International,1978,2018,Guatemala City,Guatemala,Latin America
Vila Nova de Cerveira,Portugal,TRUE,Vila Nova de Cerveira,Portugal,41.9428454,-8.7408025,Contemporary art,Pinto Cabral,Portugal,Biennial,International,1978,2018,Vila Nova de Cerveira,Portugal,Western Europe
"Vilnius, Tallinn, Riga","Lithuania, Estonia, Latvia",TRUE,"Vilnius, Tallinn, Riga","Lithuania, Estonia, Latvia",54.6850225,25.289467,Contemporary art,"Honoré Vincent, Akhmadeeva Dina, Batur Canan, Bumblienė Neringa, Fauq Cédric, Harrison Anya","France, n/a, n/a, n/a, n/a, n/a",Triennial,International,1979,2018,"Vilnius, Tallinn, Riga","Lithuania, Estonia, Latvia",Eastern Europe
São Paulo,Brazil,TRUE,São Paulo,Brazil,-23.5557714,-46.6395571,"Contemporary art, New media art",Farkas Solange,Brazil,Biennial,International,1983,2018,São Paulo,Brazil,Latin America
Houston,USA,TRUE,Houston,USA,29.7604267,-95.3698028,"Photography, New media art","Gupta Sunil, Evans Steven","India, USA",Biennial,International,1983,2018,Houston,USA,North America
