iso,lon_c,lat_c
FJI,16655968.292688431,-2285764.798384696
TZA,3261697.279044094,-796843.2306701005
ESH,-1153765.7320001507,3066098.118935808
CAN,-8070859.703863196,6461502.115996862
USA,-8576289.57852589,4550768.121854238
KAZ,5399177.850784095,5738733.541104142
UZB,5353028.4647763325,5063914.597297322
PNG,13771587.81040278,-855765.5325225731
IDN,10851029.76645314,-22936.90609903526
ARG,-5545216.30470585,-4491715.164457106
CHL,-5338617.565286944,-6380126.402309822
COD,2142378.361099708,-526486.2930024775
SOM,4474118.764000567,663874.7970948735
KEN,3593294.315907222,40140.135988818525
SDN,2789468.439252848,1951257.4867801664
TCD,1724302.759192963,1951257.4867801664
HTI,-6733622.322344673,2411613.8616599143
DOM,-6549744.717056091,2381330.6009443514
RUS,6212239.085300161,6579626.778720975
BHS,-7128129.751575636,3365477.4290290987
FLK,-4632227.820437062,-6155356.864774783
NOR,1341868.4467610947,8204051.376229376
GRL,-2547103.715318653,7616611.095790571
ATF,5546877.340433527,-5900074.965286567
TLS,11990628.935868498,-1125974.4567006023
ZAF,2363487.2432506783,-3564037.2809577
LSO,2537804.0279372428,-3704645.9489778266
MEX,-9404672.958833572,2988691.4689711565
URY,-4948321.598522076,-4047231.599549588
BRA,-4694432.566636478,-1799143.380292536
BOL,-6027202.164016141,-2077469.502490437
PER,-7223742.922306076,-1185602.373017198
COL,-6936280.467567861,509713.7289526872
PAN,-7766321.286523629,1078075.7756290142
CRI,-7962480.610632004,1244079.8089169292
NIC,-8090748.4436926525,1620480.4077989748
HND,-8230253.96983141,1851532.6811780813
SLV,-8401558.228105163,1766446.451047902
GTM,-8498811.240247425,2016088.1918040048
BLZ,-8314366.887404485,2207134.146779977
VEN,-6248752.881921237,831925.2707590285
GUY,-5627555.243414858,630915.7394473411
SUR,-5362065.247951465,493263.27737415256
FRA,174096.75775929386,5633720.250577063
ECU,-7497314.536991399,-226547.10146005783
PRI,-6212301.719899071,2331307.871947785
JAM,-7218633.413457297,2296563.9672921174
CUB,-7199864.310981344,2716006.434658898
ZWE,2736161.6230205763,-2419125.4716285374
BWA,2244650.7161597954,-2848274.972213214
NAM,1578817.2248535613,-2946241.417757488
SEN,-1389722.2541385188,1852458.755621802
MLI,-65490.1411998517,2287704.935316722
MRT,-1059784.2739269985,2645356.136254011
BEN,217587.7343445468,1184149.6083535934
NER,915976.6038551456,2217067.002197468
NGA,745976.337250388,1144766.916807138
CMR,1287615.889426014,927242.196501297
TGO,106662.31556892242,1089475.7232263978
GHA,-103717.46611565442,1002646.1396925872
CIV,-542162.4783477451,967474.3106171252
GIN,-918588.2804551624,1275349.8936126905
GNB,-1425886.277906624,1521576.4091165878
LBR,-927539.7860262572,812535.0305676489
SLE,-1128694.0202323864,1097913.3352127266
BFA,-120895.27737897306,1566849.800139604
CAF,1955374.6864807575,867942.812440739
COG,1527377.3343081155,-83288.35086683993
GAB,1110492.3360182391,-121441.75538615124
GNQ,993892.8663014278,219818.2718799637
ZMB,2400442.4928907705,-1673282.214728076
MWI,3185072.3622487094,-1685265.8695606713
MOZ,3243824.320032753,-2333555.8989223456
SWZ,2852746.112780339,-3351029.681672235
AGO,1783655.9198519045,-1520999.3294534204
BDI,2867383.92010314,-444937.66276353726
ISR,3089757.131493399,3933224.069972443
LBN,3149677.7109457385,4220425.446109463
MDG,4359245.891515465,-2374503.6306567485
PSE,3133397.5639650915,4016955.6619723863
GMB,-1516947.512925452,1714052.8391146818
TUN,784063.3602346376,4229323.548618708
DZA,47619.14411041519,3514362.372495062
JOR,3236087.940004291,3918212.197273897
ARE,5045490.678858697,3072455.9634520933
QAT,4677595.784013225,3202956.295704522
KWT,4264025.692900151,3668997.84003596
IRQ,3744921.828459369,4142429.909568588
OMN,5288839.689854421,2642541.0001195697
VUT,15724373.456092076,-1936848.0608776128
KHM,9938782.4426574,1646073.968504967
THA,9620039.60441278,1667828.6404744177
LAO,9547386.489366565,2315507.4779977147
MMR,8946496.391373595,2418245.672222139
VNM,10168422.519317606,1990996.4569188897
PRK,10752295.626088656,4958632.432391168
KOR,11113996.159328427,4491152.894694012
MNG,8459768.033249915,5644737.503908704
IND,7266211.170545056,2720461.7916050456
BGD,8267746.293283222,2984342.099015612
BTN,8197421.877597703,3477682.507921349
NPL,7536615.80891647,3561790.79119181
PAK,6273697.870635392,3806906.00902114
AFG,5748170.873612457,4216622.330891209
TJK,6082743.297929877,4781283.599917339
KGZ,6337364.553102287,5064086.504277257
TKM,5012690.676744107,4822614.887844886
IRN,4799020.210038863,4040034.719251631
SYR,3373482.75557361,4355431.118337867
ARM,3830413.009418472,4915717.303599173
SWE,1049689.465308184,7056973.835426042
BLR,2130077.434448989,6350479.976609185
UKR,2476141.1463733367,5846083.819128953
POL,1485594.6734337984,6173523.498464037
AUT,1202481.458959464,5773380.711664528
HUN,1544120.8422325656,5703453.501546714
MDA,2317666.8863127595,5692255.013560109
ROU,1989511.5919058768,5555999.219516297
LTU,1826793.1657577627,6481917.910173101
LVA,1824239.065941628,6637557.168128969
EST,1874326.6887577404,6792876.466627548
DEU,797572.8510829238,6091437.506104836
BGR,2098544.4968516314,5223145.752934001
GRC,1863493.2733050797,4818028.177814521
TUR,3037966.53407579,4767651.654396657
ALB,1683360.178816134,5059529.44141629
HRV,1284835.3984621638,5418203.565371748
CHE,672012.7790431019,5658025.485919891
LUX,472887.2123705066,5957120.384435071
BEL,372982.63263723,6044038.563580167
NLD,419793.072573578,6188825.026465258
PRT,-713217.4035124049,4866321.228982404
ESP,-299270.68329626904,4911838.187531009
IRL,-599439.9403110924,6331608.380343771
NCL,15350793.59746765,-2719075.6300656768
SLB,15237090.929440338,-1218495.57760249
NZL,15188649.33119932,-4695448.866751742
AUS,12172311.8918763,-3089546.095738036
LKA,7694897.0269610435,1008566.176280988
CHN,8568624.001406912,4439390.974548416
TWN,11113382.591796158,3034816.2187575176
ITA,1055769.0553073972,5203376.840683723
DNK,708206.7599752769,6596535.122662861
GBR,-133749.76150793897,6399980.570827275
ISL,-1266914.391094884,7330483.413140646
AZE,4046816.172735213,4925256.089981648
GEO,3650663.145898625,5174899.022036394
PHL,11944673.316573711,975564.138051474
MYS,9768094.789413948,492298.0191428314
BRN,10989026.475514848,605211.0281930179
SVN,1200828.8370277192,5586382.928659728
FIN,1862265.2889150367,7296855.698621558
SVK,1568871.7312834193,5854952.722322729
CZE,1231549.183078966,5961404.03878622
ERI,3607730.822432796,1941167.159948448
JPN,12029090.83678747,4478417.918990288
PRY,-5402378.65544022,-2928917.5558434795
YEM,4466134.161571972,2019081.286800988
SAU,4103259.834260071,3057774.621935563
ATA,7759117.757441709,-7793804.895878343
CYP,2921108.208778817,4388102.900140737
MAR,-901001.7025976062,3583478.605056455
EGY,2667897.8170558065,3390836.916463026
LBY,1571454.1053207626,3319129.4931231467
ETH,3730748.748077844,1145580.6612865075
DJI,4021965.0088400086,1517800.356735812
UGA,3117499.168389384,177351.4884066154
RWA,2876135.150609889,-251425.842323779
BIH,1500792.4895479272,5343865.352795306
MKD,1825976.1569659256,5107272.6379750725
SRB,1737470.4272300992,5374417.699867724
MNE,1619069.546159156,5224363.583328119
RKS,1748516.10976854,5198559.306136744
TTO,-5824394.13682227,1353291.0913772143
SSD,2762430.384670589,1029695.2523214448
BMU,-5738135.543072148,4036975.8337995694
AND,133782.77724297324,5197041.518605329
SGP,9942804.6428753,167026.5704650069
